Value,mode,description
Derailment,rail,"Wheelset leaves the rails, partially or fully, during movement or operations."
Electrical Infrastructure Irregularity,rail,Fault or anomaly in traction power or electrical infrastructure affecting operations.
Explosion,rail,Detonation or rapid overpressure event causing safety consequences in rail context.
Fire,rail,"Combustion event affecting rolling stock, infrastructure, cargo, or surrounding areas."
Gas,rail,"Occurrence involving gas leak, ignition, exposure, or gas-related hazard."
Level Crossing,rail,"Occurrence at a road-rail or pedestrian-rail crossing interface. Any collision at a crossing should be categorized as a level crossing occurrence, not a collision."
Light Rail or Tram Authority Exceeded,rail,Light rail/tram movement proceeds beyond authorized limits or permissions.
Load Irregularity,rail,"Unsafe, shifted, insecure, overweight, or otherwise irregular load affecting rail safety."
Not Elsewhere Classified,rail,Rail occurrence that does not fit any other listed category.
Proceed Authority Exceeded,rail,Train movement exceeds the limits of movement authority.
Railway network security,rail,Security-related occurrence affecting rail network safety or operations.
Rolling stock Irregularity,rail,"Defect or irregular condition in locomotives, wagons, carriages, or other rolling stock."
Runaway,rail,Uncontrolled rail vehicle movement without intended braking/control.
Safeworking Rule or Procedure Breach,rail,Non-compliance with safeworking rules or procedural protections. This should be used if it caused or nearly caused an occurrence.
Signalling And Other Proceed Authority System Irregularities,rail,Irregularity in signaling or movement-authority systems used to protect train movements.
Signals Passed at Danger,rail,Train passes a stop signal without authority.
"Slip, Trip or Fall",rail,"Person sustains or risks injury due to slipping, tripping, or falling in rail environment."
Track and Civil Infrastructure Irregularity,rail,"Defect or irregularity in track, structures, or civil assets affecting safety."
Train Warning and Enforcement System Irregularity,rail,"Issue with onboard/trackside warning or enforcement systems (for example, ATP/TPWS-like protections)."
Trespasser,rail,"Unauthorized person on rail corridor, track, or restricted rail property causing safety risk."
Wrong Side Failure,rail,Safety-critical failure that presents a less restrictive/unsafe indication than intended.
